R1_year,R5_pos,Phys3_htin,Phys4_wt,Speed1_40,Speed4_20ss,Speed5_3cone,Strg1_v,Strg2_b,Strg3_bench,Draft6_grade,Draft8_pick,Draft9_team
2015,RB,69,205,4.6,3.95,6.79,42.5,130,24,5.9,54,DET
2015,WR,72,198,4.42,0,0,0,0,12,5.6,20,PHI
2015,RB,72,221,4.57,4.1,7.1,39,121,19,6,149,MIA
2015,OLB,73,227,4.55,4.2,7.14,36,121,24,5.4,124,TAM
2015,WR,68,180,4.43,4.07,6.64,34,121,13,5.3,238,CIN
2015,RB,72,221,4.53,4.28,6.96,35.5,121,11,5.3,125,BAL
2015,FS,72,218,4.56,4.03,7.09,35.5,122,0,5.5,142,CHI
2015,DE,78,294,5.03,4.19,7.2,30,111,0,5.6,93,IND
2015,TE,77,244,0,0,0,0,0,0,5.5,254,SFO
2015,ILB,75,243,4.56,4.03,7.07,37,122,23,5.4,31,NOR
2015,DT,79,292,5.1,4.53,7.57,34,117,24,6.2,17,SFO
2015,RB,70,212,4.53,0,7.13,36.5,118,0,5.4,174,CAR
2015,OLB,74,236,0,0,0,0,0,22,4.9,161,OAK
2015,OLB,75,246,4.53,4.15,6.91,41,130,35,6.1,8,ATL
2015,TE,78,252,4.8,4.32,0,33,116,14,5.2,117,SFO
2015,WR,73,197,4.42,4.15,6.66,41.5,129,7,5.4,162,TAM
2015,DT,74,293,0,0,0,0,0,0,6,180,JAX
2015,DT,76,318,5.02,4.57,7.5,31,101,20,5,100,TEN
2015,TE,76,268,5.04,4.23,0,30.5,112,20,5.2,171,BAL
2015,WR,72,205,4.54,4.11,7.04,37,120,17,4.9,233,KAN
2015,OT,76,323,0,0,0,0,0,0,5.3,72,STL
2015,DT,74,319,5.05,4.59,7.84,29.5,98,26,6.1,32,NWE
2015,OG,80,355,5.29,4.78,8.23,23.5,97,20,5.3,244,SFO
2015,FB,71,242,4.74,4.34,7.2,33,115,25,4.8,168,DET
2015,SS,71,208,0,0,0,0,0,23,5.2,115,CLE
2015,OG,75,313,0,0,0,0,0,26,6,67,JAX
2015,LS,74,242,4.91,0,0,33,0,30,0,166,NWE
2015,CB,72,196,4.51,4.07,7.05,40,121,17,5.5,80,DET
2015,DE,75,267,4.79,4.25,7.17,34.5,114,27,5.1,212,PIT
2015,TE,75,244,4.87,4.7,0,0,0,28,5.3,256,ARI
