year,name,firstname,lastname,position,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,college,pick,pickround,picktotal,wonderlic,nflgrade,Rnd,Pick,Tm,Name,Pos,Age,To,AP1 Misc,PB Misc,St,CarAV Approx Val,DrAV Approx Val,G,Cmp Passing,Att Passing,Yds Passing,TD Passing,Int Passing,Att Rushing,Yds Rushing,TD Rushing,Rec Receiving,Yds Receiving,TD Receiving,Tkl,Int,Sk,College/Univ,Source,PICK,TEAM,PLAYER,POS,COLLEGE,YRS,DOLLARS,S.BONUS,G'TEED,2015 CAP HIT
2015,Ameer Abdullah,Ameer,Abdullah,RB,5,9,69,205,0,0,4.6,0,0,3.95,6.79,42.5,130,24,0,Nebraska,,0,0,0,5.9,2,54,DET,Ameer Abdullah,RB,22,2015,0,0,0,,,12,,,,,,109,414,1,16,134,1,,,,Nebraska,College Stats,54,DET,Ameer Abdullah,RB,Nebraska,4,"$4,156,126","$1,282,637","$1,856,552","$755,659"
2015,Nelson Agholor,Nelson,Agholor,WR,6,0,72,198,0,0,4.42,0,0,0,0,0,0,12,0,USC,,0,0,0,5.6,1,20,PHI,Nelson Agholor,WR,22,2015,0,0,0,,,9,,,,,,,,,16,163,0,,,,USC,College Stats,20,PHI,Nelson Agholor,WR,Southern California,4,"$9,377,374","$5,079,908","$8,520,507","$1,704,977"
2015,Jay Ajayi,Jay,Ajayi,RB,6,0,72,221,0,0,4.57,0,0,4.1,7.1,39,121,19,0,Boise St.,,0,0,0,6,5,149,MIA,Jay Ajayi,RB,22,2015,0,0,0,,,5,,,,,,22,120,0,6,75,0,,,,Boise St.,College Stats,149,MIAfrom MIN,Jay Ajayi,RB,Boise State,4,"$2,500,813","$220,813","$220,813","$490,203"
2015,Kwon Alexander,Kwon,Alexander,OLB,6,1,73,227,0,0,4.55,0,0,4.2,7.14,36,121,24,0,LSU,,0,0,0,5.4,4,124,TAM,Kwon Alexander,OLB,21,2015,0,0,1,,,12,,,,,,,,,,,,59,2,3,LSU,College Stats,124,"TBfrom CAR 
via OAK",Kwon Alexander,OLB,Louisiana State,4,"$2,758,322","$478,322","$478,322","$554,580"
2015,Mario Alford,Mario,Alford,WR,5,8,68,180,0,0,4.43,0,0,4.07,6.64,34,121,13,0,West Virginia,,0,0,0,5.3,7,238,CIN,Mario Alford,WR,23,2015,0,0,0,,,1,,,,,,,,,1,15,0,,,,West Virginia,College Stats,238,CIN,Mario Alford,WR,West Virginia,4,"$2,339,104","$59,104","$59,104","$449,776"
2015,Javorius Allen,Javorius,Allen,RB,6,0,72,221,0,0,4.53,0,0,4.28,6.96,35.5,121,11,0,USC,,0,0,0,5.3,4,125,BAL,Javorius Allen,RB,24,2015,0,0,0,,,12,,,,,,93,367,0,29,242,2,,,,USC,College Stats,125,BAL,Javorius Allen,RB,Southern California,4,"$2,754,471","$474,471","$474,471","$553,618"
2015,Adrian Amos,Adrian,Amos,FS,6,0,72,218,0,0,4.56,0,0,4.03,7.09,35.5,122,0,0,Penn St.,,0,0,0,5.5,5,142,CHI,Adrian Amos,FS,22,2015,0,0,1,,,12,,,,,,,,,,,,44,,1,Penn St.,College Stats,142,CHIfrom NYJ,Adrian Amos,FS,Penn State,4,"$2,512,280","$232,280","$232,280","$493,070"
2015,Henry Anderson,Henry,Anderson,DE,6,6,78,294,0,0,5.03,0,0,4.19,7.2,30,111,0,0,Stanford,,0,0,0,5.6,3,93,IND,Henry Anderson,DE,24,2015,0,0,0,,,9,,,,,,,,,,,,19,,1,Stanford,College Stats,93,IND,Henry Anderson,DE,Stanford,4,"$2,994,464","$613,676","$613,676","$588,419"
2015,Rory 'Busta' Anderson,Rory 'Busta',Anderson,TE,6,5,77,244,0,0,0,0,0,0,0,0,0,0,0,South Carolina,,0,0,0,5.5,7,254,SFO,Rory 'Busta' Anderson,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,,254 (C),SF,Rory 'Busta' Anderson,TE,South Carolina,4,"$2,332,783","$52,783","$52,783","$448,195"
2015,Stephone Anthony,Stephone,Anthony,ILB,6,3,75,243,0,0,4.56,0,0,4.03,7.07,37,122,23,0,Clemson,,0,0,0,5.4,1,31,NOR,Stephone Anthony,ILB,23,2015,0,0,1,,,12,,,,,,,,,,,,56,1,1,Clemson,College Stats,31,NOfrom SEA,Stephone Anthony,OLB,Clemson,4,"$7,731,716","$3,883,066","$6,242,392","$1,405,766"
